,Year,METALLURGICAL INDUSTRIES,MINING,POWER,NON-CONVENTIONAL ENERGY,COAL PRODUCTION,PETROLEUM & NATURAL GAS,BOILERS AND STEAM GENERATING PLANTS,PRIME MOVER,ELECTRICAL EQUIPMENTS,COMPUTER SOFTWARE & HARDWARE,ELECTRONICS,TELECOMMUNICATIONS,INFORMATION & BROADCASTING,AUTOMOBILE INDUSTRY,AIR TRANSPORT,SEA TRANSPORT,PORTS,RAILWAY RELATED COMPONENTS,INDUSTRIAL MACHINERY,MACHINE TOOLS,AGRICULTURAL MACHINERY,EARTH-MOVING MACHINERY,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",MEDICAL AND SURGICAL APPLIANCES,INDUSTRIAL INSTRUMENTS,SCIENTIFIC INSTRUMENTS,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",FERTILIZERS,CHEMICALS (OTHER THAN FERTILIZERS),PHOTOGRAPHIC RAW FILM AND PAPER,DYE-STUFFS,DRUGS & PHARMACEUTICALS,"TEXTILES (INCLUDING DYED,PRINTED)",PAPER AND PULP (INCLUDING PAPER PRODUCTS),SUGAR,FERMENTATION INDUSTRIES,FOOD PROCESSING INDUSTRIES,VEGETABLE OILS AND VANASPATI,"SOAPS, COSMETICS & TOILET PREPARATIONS",RUBBER GOODS,LEATHER GOODS,GLUE AND GELATIN,GLASS,CERAMICS,CEMENT AND GYPSUM PRODUCTS,TIMBER PRODUCTS,DEFENCE INDUSTRIES,CONSULTANCY SERVICES,SERVICES SECTOR,HOSPITAL & DIAGNOSTIC CENTRES,EDUCATION,HOTEL & TOURISM,TRADING,RETAIL TRADING,AGRICULTURE SERVICES,"DIAMOND,GOLD ORNAMENTS",TEA AND COFFEE,PRINTING OF BOOKS,COIR,CONSTRUCTION  ACTIVITIES,CONSTRUCTION DEVELOPMENT,MISCELLANEOUS INDUSTRIES,Year.1
0,2001,22.69,1.32,89.42,0.0,0.0,9.35,0.0,0.0,79.76,228.39,8.34,177.69,81.5,195.33,0.0,2.41,0.0,0.0,5.48,1.42,3.64,0.0,44.5,12.2,5.42,1.01,8.07,0.0,0.0,111.14,0.0,1.05,35.94,2.06,60.04,0.0,16.02,45.75,0.0,0.0,0.1,9.75,0.0,33.87,4.03,67.72,0.0,0.0,4.25,71.38,0.0,0.0,13.2,11.49,0.0,17.52,18.83,20.23,0.0,0.0,0.0,24.33,832.07,2001
1,2002,14.14,6.52,757.44,0.0,0.0,211.07,0.0,0.0,65.76,419.39,12.47,873.23,4.54,235.76,0.0,19.81,15.48,0.0,32.04,4.31,1.04,0.11,61.4,4.87,42.35,5.07,2.33,0.0,0.0,87.23,0.0,0.18,77.94,5.28,16.7,0.0,11.04,219.39,0.0,0.0,46.39,0.2,0.94,8.37,0.78,139.9,0.05,0.0,66.22,187.95,6.93,0.0,32.12,43.27,0.0,14.06,0.36,0.14,0.0,0.0,0.0,51.75,221.37,2002
2,2003,36.61,10.06,59.11,1.7,0.0,56.78,0.0,0.0,34.71,314.24,295.88,191.6,36.5,419.96,3.8,29.32,2.03,0.56,19.4,14.17,13.48,13.77,45.07,2.33,21.63,1.31,0.19,0.0,16.38,128.12,0.6,0.0,40.07,54.18,7.36,3.97,8.07,36.88,0.0,0.0,16.42,0.01,5.22,44.98,0.21,21.08,0.04,0.0,25.7,296.34,29.13,0.0,33.75,38.13,0.0,11.01,1.3,0.0,6.3,0.0,0.0,36.1,218.76,2003
3,2004,8.11,23.48,27.09,4.14,0.04,80.64,0.04,0.0,73.2,368.32,82.31,86.49,13.72,119.09,0.94,21.95,116.36,2.95,3.18,54.51,47.54,0.01,22.73,10.41,1.97,0.3,0.02,0.0,21.58,20.24,0.24,0.43,108.91,9.34,7.15,0.0,1.7,109.22,1.69,0.0,6.37,7.55,0.0,5.24,1.47,9.58,0.11,0.0,46.2,271.15,24.08,0.19,49.36,31.12,0.0,0.59,1.96,0.32,0.0,0.0,0.0,47.04,235.48,2004
4,2005,200.38,9.92,43.37,1.27,0.0,102.78,0.54,2.66,97.4,527.9,88.1,118.33,9.85,121.97,4.11,36.95,13.04,10.75,8.89,11.04,0.0,0.1,12.83,14.13,5.35,1.08,0.03,0.0,13.46,69.39,6.16,1.18,293.36,43.04,2.7,2.94,139.0,43.98,9.09,0.89,40.06,0.44,0.0,8.36,26.79,0.16,0.07,0.05,252.42,456.15,26.19,1.97,37.01,14.22,0.0,3.83,8.58,0.01,0.06,0.47,0.0,152.06,121.83,2005
5,2006,149.13,7.4,72.69,1.35,9.14,12.09,0.0,0.74,39.5,1359.97,40.91,617.98,55.93,139.93,10.27,53.63,0.5,22.62,42.8,23.0,92.71,50.87,51.22,25.54,1.52,0.38,0.1,0.0,4.24,387.72,0.0,0.0,172.44,94.33,27.38,3.0,169.83,41.74,12.31,87.42,34.09,1.11,0.0,0.81,5.67,452.08,0.33,0.0,47.4,548.61,32.53,3.16,71.78,28.93,0.0,9.08,15.52,1.43,9.9,0.59,0.93,228.71,164.76,2006
6,2007,169.94,6.62,157.15,2.44,1.3,87.71,3.31,25.57,76.85,2613.33,42.14,476.51,75.7,260.72,62.29,72.52,0.0,25.82,25.96,37.28,25.19,0.99,84.44,5.42,13.43,0.0,0.07,0.0,5.01,138.85,2.81,0.0,224.2,126.9,5.08,9.85,27.58,102.0,16.22,6.04,18.75,8.26,0.0,1.43,122.23,242.47,0.0,0.0,114.68,4713.78,38.14,41.81,195.66,114.65,0.0,12.53,61.97,6.2,20.04,0.04,64.06,1392.95,304.87,2007
7,2008,1175.75,444.36,988.68,58.82,14.08,1405.04,1.51,40.53,653.74,1382.25,136.03,1260.7,288.49,656.1,99.08,128.36,918.18,12.41,119.57,56.87,6.72,67.94,211.15,9.83,13.17,2.23,0.0,1.27,1.95,233.7,54.86,5.51,340.35,185.4,31.24,10.07,270.05,70.17,1.53,6.38,15.12,7.46,2.28,11.04,115.11,16.89,0.39,0.0,233.32,6986.17,241.76,43.59,421.47,345.02,1.27,58.13,59.15,18.94,35.54,0.01,182.92,3887.33,528.42,2008
8,2009,959.94,34.16,907.66,125.88,0.22,349.29,0.0,74.88,417.35,1543.34,147.51,2548.63,735.04,1150.03,61.37,50.21,493.15,18.01,110.54,45.66,5.57,2.27,142.31,12.63,75.42,17.48,0.83,0.0,133.75,651.22,1.05,1.17,4246.76,157.52,272.51,5.01,144.7,102.71,42.88,22.03,84.88,3.32,0.0,23.16,198.43,724.8,11.27,0.0,256.59,6183.49,239.71,214.52,463.92,643.64,0.09,5.35,83.5,37.08,31.61,0.0,172.7,4657.51,1549.7,2009
9,2010,419.88,174.4,1271.79,622.52,0.0,265.53,3.96,39.5,728.27,871.86,52.14,2539.26,490.83,1236.29,23.71,284.85,65.41,34.43,341.88,133.83,1.88,15.62,149.59,78.98,167.35,7.61,0.0,0.0,8.2,365.94,0.0,4.02,213.08,150.27,16.42,0.1,112.02,278.89,69.74,24.58,24.12,5.06,0.27,2.83,7.21,33.8,6.54,0.0,341.31,4174.53,135.57,63.35,753.02,737.95,13.73,1222.22,31.08,8.15,70.51,0.25,324.56,5466.13,1147.56,2010
